SalaryID,EmployeeID,EffectiveDate,MonthlyIncome
1145,1642,2025-04-19,10800
1440,1812,2024-01-11,6160
482,1266,2025-04-07,"$5,300"
733,1408,2021-11-08,7096
266,1150,2023-09-24,7321
102,1059,2025-05-24,9811
1126,1632,2023-11-04,7678
1267,1715,2025-05-17,13962
1389,1783,2026-06-22,11900
1136,1637,2025-12-26,7900
1354,1764,2021-04-28,10923
620,1345,2023-08-10,6696
1498,1843,2024-07-26,10660
847,1473,2026-01-23,7200
845,1472,2024-04-29,11071
1507,1848,2025-02-25,5500
146,1083,2024-06-26,19285
473,1262,2025-04-03,5660
404,1224,2024-10-05,10100
66,1037,2025-02-13,22500
1069,1599,2022-05-01,7580
1261,1711,2025-12-11,10900
1337,1755,2024-07-04,14800
682,1380,2026-06-11,6700
273,1154,2022-11-22,7796
933,1520,2025-07-23,5800
1167,1655,2025-05-11,5700
1482,1834,2025-12-04,9400
1366,1770,2026-03-11,6300
333,1186,2024-07-30,5500
862,1481,2025-01-13,8100
604,1336,2025-07-01,7924
800,1446,2025-06-20,11900
1357,1765,2024-01-02,10800
1326,1749,2025-09-01,4400
811,1452,2025-07-06,9433
1307,1739,2023-02-14,6864
1181,1664,2025-04-16,6226
1382,1779,2021-02-05,5615
1200,1675,2024-08-08,9700
824,1459,2024-06-06,7100
1446,1815,2024-10-15,9339
788,1440,2026-01-15,8300
1259,1710,2025-09-20,6900
162,1092,2026-06-21,12400
47,1028,2023-08-21,8303
625,1348,2021-07-22,9677
1097,1615,2025-04-16,10094
458,1254,2025-03-09,14700
406,1226,2024-12-19,7264
1471,1828,2023-08-21,4642
94,1054,2025-01-24,11792
918,1513,2025-07-12,19245
757,1421,2025-01-16,11000
231,1131,2021-11-06,5322
373,1208,2026-07-20,6200
264,1149,2024-05-09,6785
795,1444,2024-02-10,12142
302,1170,2025-02-10,19700
957,1533,2025-02-04,8600
981,1545,2025-09-03,10900
999,1557,2025-11-30,10300
471,1261,2021-12-30,9758
174,1098,2025-07-20,7100
689,1384,2025-07-17,4600
987,1548,2025-03-27,10500
1256,1708,2026-04-01,11100
822,1458,2025-09-11,16700
580,1321,2025-09-26,7400
953,1531,2025-10-19,21600
1439,1811,2024-07-16,9300
1506,1848,2023-12-15,4910
1406,1793,2023-02-16,5254
453,1251,2024-04-10,12700
1096,1614,2024-08-17,10200
1252,1706,2022-01-22,5483
1148,1644,2020-12-11,8000
730,1406,2025-08-14,8600
288,1162,2025-12-18,14100
964,1537,2022-05-04,3306
497,1275,2022-12-13,9576
227,1129,2023-03-04,5508
509,1281,2024-01-31,6874
115,1066,2024-06-01,7946
1532,1862,2024-04-20,6700
334,1187,2020-08-19,6769
124,1071,2021-12-02,6451
4,1003,2024-07-26,6698
716,1398,2024-10-30,13600
678,1378,2019-10-15,11838
550,1305,2025-10-01,14700
18,1011,2025-04-27,10000
1132,1635,2022-09-21,6101
1369,1772,2025-03-07,"$6,415"
561,1312,2022-05-19,11048
1124,1630,2024-02-10,10800
1321,1746,2025-05-19,4300
1291,1729,2023-11-19,7142
249,1141,2023-07-18,7118
609,1338,2026-01-28,10200
654,1364,2023-05-28,7033
554,1308,2023-10-29,18035
1281,1722,2025-12-02,16400
607,1337,2025-04-13,14800
34,1020,2025-07-10,8500
612,1340,2024-02-22,13214
1029,1574,2025-08-05,9400
777,1433,2023-08-23,5803
53,1031,2025-07-06,10660
836,1467,2024-02-23,9107
915,1511,2025-06-21,6600
1391,1785,2024-09-30,6603
1536,1864,2025-05-18,12900
848,1474,2025-04-08,10188
585,1324,2024-06-01,6964
1207,1679,2025-05-22,9200
1331,1752,2024-08-27,6981
113,1065,2023-12-23,6696
551,1306,2024-12-31,15660
110,1063,2026-04-09,6100
663,1368,2025-07-07,7900
281,1158,2024-11-16,7900
189,1106,2025-01-21,17100
1332,1752,2025-04-03,7400
746,1415,2025-03-27,12700
412,1229,2022-04-19,8790
1505,1847,2026-02-24,
1447,1815,2025-05-22,9900
696,1388,2021-10-15,6048
1362,1768,2023-01-18,12542
19,1012,2024-09-20,13018
850,1475,2023-08-27,11249
337,1188,2024-10-31,10500
437,1243,2024-08-16,14245
1430,1805,2025-04-18,8100
712,1396,2025-07-12,19400
791,1442,2024-11-18,10094
599,1333,2026-05-29,5000
350,1195,2026-01-18,17500
1174,1660,2020-11-28,10538
1196,1672,2026-01-13,8100
1161,1652,2023-09-04,7589
1241,1700,2024-02-21,9600
898,1501,2022-11-24,
257,1145,2025-04-17,8100
213,1120,2024-06-19,8400
260,1147,2024-10-05,9339
598,1332,2025-08-12,6200
1284,1725,2023-04-16,
1087,1609,2026-04-01,7100
1085,1608,2024-05-29,8750
236,1134,2025-11-30,9700
956,1533,2023-11-24,7678
1363,1768,2024-11-05,14800
477,1264,2021-04-05,2923
1002,1559,2021-07-01,5230
22,1014,2023-03-02,9576
1474,1829,2024-08-08,8600
558,1310,2025-08-10,14300
454,1252,2023-09-16,
709,1394,2025-10-03,19500
1492,1839,2025-05-06,6400
71,1040,2025-05-27,8773
1383,1779,2024-02-05,7300
1119,1628,2025-01-01,6037
697,1388,2024-03-09,7500
357,1199,2025-02-18,7000
21,1013,2026-03-29,12200
1340,1757,2025-06-05,10566
1138,1638,2024-11-25,6200
1135,1636,2025-10-01,8700
1433,1808,2025-09-09,14300
1345,1759,2025-02-03,19900
573,1318,2021-05-06,
1067,1597,2025-05-12,9700
383,1213,2025-09-16,
129,1074,2024-06-30,9285
541,1300,2026-05-04,13800
85,1048,2024-05-13,8400
1272,1717,2024-08-10,6700
371,1207,2024-01-22,6696
569,1316,2024-09-04,
364,1203,2025-03-22,12700
1431,1806,2026-03-01,6100
1217,1686,2020-10-30,"$8,000"
908,1506,2025-05-01,17100
860,1480,2025-12-24,14000
370,1206,2025-01-13,12300
1515,1853,2024-02-12,14285
1407,1793,2024-12-04,6200
8,1005,2024-12-13,13000
1384,1780,2023-12-14,5357
872,1486,2025-08-04,9100
513,1283,2026-06-04,11600
725,1404,2025-05-08,8867
399,1222,2025-07-13,7547
947,1528,2025-07-18,12452
342,1191,2026-06-26,8300
103,1059,2025-12-29,10400
1275,1719,2024-06-30,10714
984,1547,2022-06-24,7741
422,1234,2022-09-17,5508
48,1028,2024-11-01,9300
401,1223,2023-04-24,11779
186,1105,2022-07-23,10000
172,1097,2025-02-24,"$6,400"
771,1429,2025-04-22,18100
650,1362,2024-05-03,7053
1305,1738,2023-03-22,11525
942,1525,2025-07-16,6300
1442,1813,2025-06-17,13207
62,1035,2024-09-15,6100
1260,1711,2025-05-06,10283
1105,1619,2024-10-19,8900
1360,1767,2025-03-16,13773
505,1279,2024-04-09,6428
286,1161,2022-11-08,8559
195,1110,2025-01-01,5471
652,1363,2022-08-15,11186
456,1253,2026-02-28,7000
1292,1729,2025-01-30,8000
576,1319,2025-09-14,
793,1443,2023-12-27,13214
130,1074,2025-09-11,10400
368,1205,2025-07-10,7400
1177,1662,2025-02-02,8584
852,1476,2026-07-04,6500
810,1451,2024-10-28,"$13,600"
667,1371,2022-02-22,6451
1385,1780,2025-02-24,6000
660,1367,2025-06-30,17075
1271,1717,2022-03-18,5403
466,1258,2025-12-24,"$7,600"
676,1377,2022-06-14,6209
954,1532,2024-07-11,3660
128,1073,2025-07-31,6300
1245,1702,2025-08-03,5000
362,1202,2026-04-17,11000
844,1471,2025-04-10,11800
170,1096,2025-02-04,10500
1367,1771,2024-12-22,13301
120,1068,2026-02-15,7900
1464,1824,2026-01-29,10200
785,1438,2024-08-06,4245
1346,1760,2024-12-30,12264
1168,1656,2026-05-19,13300
740,1412,2024-12-05,6886
1201,1676,2025-10-21,5600
1183,1665,2026-03-06,9500
533,1295,2022-05-04,5161
1468,1826,2024-02-11,6600
679,1378,2023-05-21,16100
201,1113,2025-08-22,7600
1055,1590,2024-10-30,5094
250,1141,2025-05-05,8400
378,1211,2024-04-14,5624
316,1178,2023-09-17,9732
147,1083,2025-09-07,21600
626,1348,2023-12-15,12000
1045,1584,2024-12-26,8396
1495,1841,2024-10-31,8396
1467,1826,2021-09-18,5322
142,1081,2024-11-14,8301
1477,1831,2022-10-02,7033
1040,1580,2025-03-28,10300
526,1291,2025-09-22,16700
356,1199,2023-12-08,6249
924,1516,2025-03-07,9245
336,1188,2023-01-13,8898
68,1038,2024-08-21,12900
1394,1786,2025-12-14,9900
1500,1844,2024-10-29,5754
420,1233,2023-09-09,9017
1412,1796,2026-01-21,8900
83,1047,2026-01-29,10900
326,1183,2023-11-14,11607
931,1519,2025-02-23,17800
42,1025,2021-11-11,6209
16,1010,2023-06-17,19400
159,1090,2025-05-02,6800
1436,1810,2025-01-17,8679
858,1479,2025-01-03,8300
769,1428,2026-04-27,8100
871,1486,2024-05-23,8124
574,1318,2024-05-05,14800
644,1358,2025-10-02,12600
1172,1659,2024-12-04,13396
962,1536,2021-08-19,6612
1537,1865,2024-11-09,8018
583,1323,2024-03-04,12321
1356,1765,2021-08-09,8709
910,1508,2026-04-21,9000
1185,1666,2025-09-24,5600
944,1526,2024-07-10,12000
100,1057,2025-12-09,10000
329,1184,2024-11-25,11500
1329,1751,2021-05-03,4538
530,1293,2025-01-14,7300
1197,1673,2025-07-30,7800
84,1048,2021-05-14,6461
3,1002,2025-09-03,6000
797,1445,2021-11-06,7016
1318,1745,2024-10-02,7547
1098,1615,2025-11-21,10700
1374,1775,2025-05-17,9528
1062,1594,2025-08-19,6500
1091,1611,2025-12-04,
216,1122,2024-12-30,10188
1279,1721,2021-01-08,8615
1486,1836,2024-08-24,8900
705,1392,2025-04-23,7200
81,1046,2024-07-17,9017
1371,1773,2025-04-17,5754
38,1023,2022-08-08,8813
1451,1817,2025-09-21,9200
1052,1588,2026-06-16,9200
912,1509,2025-01-07,10900
1044,1583,2026-07-15,10200
392,1218,2025-11-29,17000
183,1103,2024-11-20,7600
375,1209,2025-10-16,7300
1434,1809,2025-01-20,9339
1026,1572,2024-12-26,11300
489,1271,2025-06-03,12547
67,1038,2022-11-03,10932
923,1515,2024-10-11,5200
749,1417,2024-07-14,8303
1522,1857,2025-04-04,11886
408,1227,2023-06-04,12033
587,1325,2025-10-08,11500
1404,1792,2024-05-07,4821
430,1238,2025-08-06,12300
173,1098,2024-12-13,"$6,698"
594,1330,2022-12-26,6016
1294,1731,2022-04-10,8629
331,1185,2024-12-28,20100
728,1405,2025-01-20,11800
488,1270,2026-02-08,13500
285,1160,2024-08-20,15200
1368,1771,2025-07-29,14100
815,1454,2026-06-15,13200
1212,1682,2025-09-21,12900
1254,1707,2024-12-25,6886
1273,1718,2025-04-17,10471
233,1132,2026-01-21,7100
1419,1800,2022-03-04,4838
565,1314,2022-06-06,9354
280,1158,2023-09-05,7053
932,1520,2024-05-11,5178
892,1497,2026-05-31,8200
664,1369,2026-03-27,11600
1049,1586,2024-10-20,18490
557,1309,2025-05-10,7500
1453,1818,2024-12-01,4100
1309,1740,2026-05-29,19800
737,1410,2026-07-02,12500
581,1322,2025-06-28,9905
628,1349,2025-01-04,11800
461,1256,2024-08-04,5471
1287,1726,2025-08-27,12500
1242,1701,2023-06-23,5932
61,1035,2022-11-28,"$5,169"
202,1114,2025-12-18,7600
400,1222,2026-02-17,8000
29,1018,2025-01-23,9150
601,1334,2024-08-25,8100
542,1301,2025-04-17,13584
1216,1685,2026-06-27,10100
543,1301,2025-11-22,14400
452,1251,2021-11-16,10241
886,1494,2022-01-31,7500
127,1072,2024-09-03,9800
983,1546,2025-07-17,4000
348,1194,2024-12-31,9200
1007,1561,2025-09-08,8800
117,1067,2025-06-10,5566
105,1060,2023-07-30,25000
849,1474,2025-11-13,10800
380,1212,2023-05-30,7033
536,1296,2025-08-29,6900
352,1196,2025-09-15,8900
294,1165,2024-01-18,11600
1461,1823,2023-04-01,5593
1240,1700,2021-09-28,7741
1080,1605,2025-07-08,4600
1032,1576,2022-02-19,7580
92,1052,2024-11-13,9900
24,1015,2024-11-01,8396
887,1494,2024-06-25,9300
992,1552,2025-09-14,"$20,400"
91,1052,2023-01-26,8389
736,1409,2025-08-02,11300
524,1290,2019-08-23,8897
572,1317,2024-01-20,9300
790,1441,2025-06-24,9500
904,1504,2022-07-08,7983
1521,1856,2025-08-23,15100
978,1544,2020-11-20,7230
1165,1654,2026-03-07,16300
641,1356,2023-08-27,11200
817,1455,2025-11-26,9400
1224,1691,2024-04-24,7589
745,1415,2024-08-20,11981
615,1342,2025-09-04,7400
659,1366,2023-11-04,"$7,100"
224,1127,2025-08-06,6200
1306,1738,2025-01-07,13600
214,1121,2023-09-15,13928
779,1434,2026-04-17,11000
1190,1669,2023-12-18,8392
1154,1647,2026-02-15,7400
1250,1705,2024-10-07,12641
78,1044,2024-12-04,"$14,500"
1054,1589,2025-01-08,7700
1,1001,2026-04-24,16300
389,1217,2019-08-29,9044
1128,1633,2021-04-27,16769
440,1244,2024-11-09,10300
1444,1814,2022-04-04,5645
863,1482,2025-06-17,9528
808,1450,2025-03-20,6000
1131,1634,2024-11-28,7500
1269,1716,2024-02-19,7499
1355,1764,2024-04-27,14200
552,1306,2025-08-07,16600
729,1406,2025-01-07,8113
298,1168,2025-04-08,6981
546,1303,2026-04-09,7200
544,1302,2020-01-01,4779
278,1156,2025-05-14,7500
1511,1850,2025-04-03,7400
323,1181,2023-12-26,10600
491,1272,2023-06-09,6525
1060,1593,2026-07-16,10500
881,1491,2023-12-09,11071
1182,1664,2025-11-21,6600
1056,1590,2025-06-06,5400
941,1525,2024-12-09,5943
1414,1797,2025-08-07,7300
1449,1816,2025-04-05,10700
1445,1814,2024-08-27,7000
979,1544,2023-11-20,9400
1213,1683,2025-10-04,6400
222,1125,2024-12-16,6300
1333,1753,2025-11-14,11200
1349,1761,2024-10-10,9900
1102,1617,2024-08-02,14100
1402,1791,2024-04-08,8303
946,1527,2024-07-22,10900
7,1005,2023-10-02,11607
310,1174,2025-05-06,12000
1121,1629,2023-12-14,9285
949,1529,2023-01-11,11186
282,1159,2021-07-23,6532
1064,1596,2020-12-17,11538
1478,1831,2024-07-20,8300
149,1084,2023-06-18,15600
398,1221,2025-07-06,19800
1066,1597,2024-02-29,8660
328,1184,2023-09-14,10267
487,1269,2025-02-09,12100
578,1320,2025-07-05,6900
692,1386,2022-04-16,
523,1289,2026-02-01,10100
958,1534,2024-10-18,9433
646,1360,2020-04-26,5588
272,1153,2024-06-02,9300
888,1495,2024-11-15,17169
1251,1705,2025-05-14,13400
87,1049,2024-12-03,11800
165,1094,2023-10-02,9196
1330,1751,2024-05-02,5900
653,1363,2024-06-02,13200
556,1309,2024-10-03,7075
194,1109,2025-03-28,"$9,400"
327,1183,2025-01-25,"$13,000"
344,1192,2025-10-27,9600
109,1062,2025-11-22,5700
156,1089,2024-06-02,8214
531,1294,2022-03-07,3145
1231,1694,2024-08-14,18700
376,1210,2024-06-18,11517
756,1421,2023-11-05,9821
1408,1794,2021-02-10,7384
789,1441,2024-11-17,8962
481,1266,2024-08-31,5000
732,1407,2025-08-31,5500
721,1402,2024-05-23,9285
799,1446,2024-11-13,11226
1462,1823,2025-01-17,6600
1353,1763,2025-07-24,8500
472,1261,2024-05-24,12100
1299,1734,2025-08-08,"$7,500"
17,1011,2024-09-20,9433
1137,1638,2023-09-14,5535
1390,1784,2025-12-06,10200
76,1043,2025-09-16,12700
135,1077,2025-09-29,5000
2,1002,2025-01-27,5660
438,1243,2025-03-23,15100
1422,1801,2025-03-30,18800
320,1180,2022-03-25,14193
1016,1567,2024-10-25,21500
1298,1733,2026-04-24,17700
997,1556,2026-04-28,
739,1411,2025-02-08,9100
322,1181,2020-12-26,
568,1315,2024-02-03,13500
917,1512,2024-12-10,11100
252,1143,2024-01-01,8303
1343,1758,2024-11-26,11500
1112,1623,2025-08-20,15300
1377,1776,2025-10-27,16300
63,1036,2024-09-28,7452
764,1425,2024-04-04,8750
90,1051,2025-09-16,6800
804,1448,2025-03-01,10400
738,1411,2023-04-23,7711
157,1089,2025-08-14,9200
442,1245,2025-02-13,17700
1289,1727,2025-07-09,"$12,200"
1162,1652,2024-11-15,8500
415,1230,2025-09-13,15400
952,1530,2026-02-15,7500
1282,1723,2025-08-25,12700
553,1307,2026-01-26,12800
512,1282,2025-02-08,10000
1420,1800,2024-07-27,6000
522,1289,2025-06-27,9528
902,1503,2023-11-19,17500
1134,1636,2025-02-24,8207
1528,1860,2023-09-17,8400
474,1262,2025-11-08,6000
1038,1579,2025-05-26,
780,1435,2025-11-09,8700
1310,1741,2020-08-23,8000
181,1102,2025-03-04,4100
744,1414,2024-12-03,10200
1520,1855,2025-06-12,7300
1397,1788,2025-06-10,13396
402,1223,2025-02-09,13900
1535,1864,2024-10-11,12169
1529,1861,2023-07-21,3559
346,1193,2026-01-13,7500
1465,1825,2022-06-22,13145
251,1142,2025-08-23,7000
296,1167,2024-01-12,9732
1184,1666,2025-02-17,5283
1302,1736,2025-07-14,5400
1265,1714,2024-12-31,13962
718,1400,2026-05-11,6800
263,1148,2025-07-23,7100
121,1069,2025-08-21,6300
1133,1635,2024-07-09,7200
1336,1755,2022-09-16,12542
220,1124,2025-04-14,14600
268,1151,2025-11-15,9500
369,1206,2023-03-28,10423
193,1109,2024-08-21,8867
291,1164,2022-08-30,8050
693,1386,2024-09-08,10400
698,1389,2020-03-16,6691
1211,1682,2024-07-10,11517
1409,1794,2024-02-10,"$9,600"
1159,1651,2025-07-04,10754
1115,1625,2025-07-31,14500
1199,1675,2022-03-16,7822
547,1304,2024-11-13,5377
75,1043,2025-02-09,11981
1246,1703,2025-03-10,11603
803,1448,2024-07-25,9811
253,1143,2025-03-14,9300
433,1240,2026-06-25,10400
1248,1704,2024-08-14,6226
597,1332,2025-01-05,5849
1443,1813,2026-01-22,14000
12,1008,2026-03-30,15200
787,1439,2025-08-14,10600
655,1364,2025-03-15,8300
1144,1642,2024-02-06,9642
735,1409,2024-12-26,10660
1024,1571,2025-07-29,9500
210,1119,2020-01-03,8235
1524,1858,2021-06-08,5923
820,1457,2026-06-26,7700
1352,1763,2024-05-12,
180,1102,2023-05-17,3474
1365,1769,2025-12-07,17100
514,1284,2023-01-17,8728
313,1176,2026-03-16,17300
441,1245,2023-04-28,15000
622,1346,2024-12-23,6320
161,1091,2025-09-28,8000
830,1463,2024-12-02,9100
377,1210,2025-08-30,12900
206,1116,2025-11-10,10400
922,1515,2023-07-31,"$4,642"
289,1163,2024-01-25,"$13,839"
57,1033,2024-12-13,7075
685,1382,2023-05-29,14576
385,1215,2023-10-15,7142
501,1277,2025-01-09,8207
1027,1573,2023-09-07,17321
1518,1854,2024-11-30,8300
232,1131,2024-03-31,6600
1290,1728,2025-12-15,18700
426,1236,2024-05-27,10446
1323,1747,2025-01-20,9400
742,1413,2026-04-24,12200
311,1175,2024-01-03,5267
590,1327,2025-02-25,4056
238,1135,2024-12-24,15400
237,1135,2023-10-13,13749
427,1236,2025-08-08,11700
1004,1560,2024-11-19,8584
1372,1773,2025-11-22,6100
582,1322,2026-02-02,10500
1149,1644,2023-12-11,10400
762,1424,2019-09-20,7720
176,1099,2024-02-29,4900
1155,1648,2026-06-06,10300
1198,1674,2025-08-28,16600
995,1554,2025-06-29,9200
1490,1838,2026-01-12,12400
457,1254,2023-12-27,13124
835,1466,2025-12-13,9900
1475,1830,2023-09-08,3214
1411,1796,2025-06-16,8396
1485,1836,2022-11-06,7542
318,1179,2024-12-12,15283
1541,9993,2024-01-15,7000
1247,1703,2025-10-15,12300
672,1375,2024-09-28,10188
387,1216,2024-12-19,6698
153,1087,2024-03-14,10089
559,1311,2024-02-16,6785
1227,1692,2025-09-07,11000
1401,1790,2026-05-31,11900
945,1527,2022-10-04,9237
998,1557,2025-04-25,9716
1301,1736,2024-12-07,5094
1399,1789,2021-04-21,11615
753,1419,2026-05-19,4300
1489,1838,2025-06-07,11698
1379,1777,2025-05-03,9000
575,1319,2024-07-03,5535
1335,1754,2025-06-30,11700
265,1149,2025-07-21,7600
292,1164,2024-06-17,9500
1320,1746,2024-10-12,4056
600,1334,2022-04-02,6532
1000,1558,2025-03-27,4622
155,1088,2026-02-19,4400
1218,1686,2023-10-30,10400
23,1014,2024-12-18,11300
882,1491,2025-02-19,"$12,400"
1448,1816,2023-06-18,9067
1140,1639,2025-10-07,12000
1509,1849,2024-10-26,8000
1530,1861,2025-05-08,4200
1438,1811,2022-02-21,7500
828,1462,2025-07-06,7200
259,1146,2023-08-31,9100
228,1129,2024-12-20,6500
317,1178,2024-11-28,10900
968,1539,2025-05-29,7075
108,1062,2025-04-17,5377
1413,1797,2024-12-31,6886
1180,1663,2024-07-31,6600
428,1237,2025-12-07,10500
86,1049,2023-09-22,10535
916,1512,2023-02-22,9406
884,1493,2021-06-25,8538
1065,1596,2023-12-17,15000
593,1329,2025-10-13,4600
611,1339,2026-01-07,5000
1525,1858,2024-06-07,7700
525,1290,2023-03-29,12100
31,1019,2021-12-17,16048
11,1007,2024-09-18,5200
982,1546,2024-12-10,3773
439,1244,2023-01-22,8728
343,1192,2025-03-22,9056
711,1396,2024-12-05,"$18,301"
875,1488,2022-03-12,14516
459,1255,2020-12-02,7461
878,1489,2024-08-27,8300
670,1373,2025-11-18,"$17,600"
1146,1643,2020-03-06,8088
846,1472,2025-07-11,12400
126,1072,2022-04-11,7903
258,1146,2020-01-25,6691
1214,1684,2022-07-07,12741
867,1484,2025-02-11,7075
314,1177,2023-07-20,9491
1228,1693,2022-01-27,7419
1078,1604,2025-09-25,7400
5,1003,2025-03-02,7100
1469,1827,2023-11-22,8214
199,1112,2025-02-07,8400
629,1350,2025-02-15,8584
410,1228,2024-01-13,12678
1276,1719,2025-09-11,12000
717,1399,2025-09-06,12800
1435,1809,2025-08-27,9900
175,1099,2021-03-01,3769
1297,1732,2025-04-18,10900
1424,1802,2025-09-18,7500
840,1469,2025-03-27,5600
470,1260,2025-11-30,7100
203,1115,2024-05-31,5357
1156,1649,2023-01-31,11186
596,1331,2025-08-22,11800
632,1351,2025-05-01,11200
178,1100,2024-02-29,11900
276,1155,2024-06-15,9900
927,1517,2024-10-01,14800
413,1229,2024-09-11,10900
14,1009,2025-01-16,6900
484,1268,2022-01-19,9919
1487,1837,2024-02-26,10357
1476,1830,2024-11-19,3600
476,1263,2024-10-21,10000
1206,1679,2024-10-15,8679
539,1298,2024-10-20,5400
616,1343,2024-12-04,11886
1008,1562,2026-04-01,7100
118,1067,2026-01-15,5900
537,1297,2026-04-20,8300
1141,1640,2025-07-06,9528
1142,1640,2026-02-10,10100
642,1357,2024-04-23,4732
603,1335,2025-04-16,10700
1225,1691,2025-07-06,8500
1204,1678,2024-10-22,5660
1459,1822,2022-01-03,"$5,000"
164,1093,2026-02-12,5900
112,1064,2024-06-25,13100
345,1193,2025-06-08,7075
1205,1678,2025-05-29,6000
1089,1610,2024-05-16,13400
483,1267,2025-09-01,8900
1347,1760,2025-08-06,13000
994,1554,2024-04-17,8214
131,1075,2025-05-05,14622
1308,1739,2024-12-02,8100
