ReviewID,EmployeeID,ReviewDate,PerformanceRating,JobSatisfaction,WorkLifeBalance
79,1087,2025-06-18,3,3.0,1.0
592,1671,2023-05-30,4,4.0,
160,1181,2024-11-10,3,3.0,2.0
47,1052,2025-07-24,3,1.0,2.0
449,1507,2026-12-05,3,,4.0
357,1401,2025-06-20,4,3.0,4.0
216,1242,2024-04-04,3,1.0,2.0
102,1113,2026-03-05,4,4.0,3.0
377,1421,2025-03-04,5,4.0,3.0
200,1224,2024-04-01,2,1.0,3.0
181,1204,2026-03-27,4,2.0,3.0
570,1646,2024-12-02,3,,
674,1769,2026-03-28,4,3.0,3.0
627,1716,2024-10-12,3,2.0,4.0
621,1707,2025-09-23,3,4.0,4.0
446,1504,2025-06-04,3,4.0,3.0
17,1020,2025-10-07,5,2.0,4.0
356,1398,2024-06-27,3,4.0,3.0
666,1761,2023-09-29,3,4.0,2.0
410,1463,2024-07-12,4,2.0,4.0
59,1066,2025-04-06,3,3.0,2.0
625,1714,2025-08-20,4,4.0,
479,1539,2026-02-14,3,3.0,3.0
171,1192,2025-12-26,3,3.0,2.0
230,1258,2026-05-05,3,4.0,4.0
412,1465,2023-10-14,4,4.0,2.0
324,1364,2024-10-02,5,3.0,1.0
207,1232,2025-12-08,4,3.0,2.0
187,1211,2024-10-18,3,2.0,4.0
195,1219,2025-03-11,3,4.0,2.0
739,1843,2025-05-30,1,2.0,2.0
405,1456,2026-01-15,3,3.0,3.0
743,1848,2025-02-15,4,3.0,2.0
285,1320,2024-12-06,5,3.0,
583,1661,2026-04-07,3,1.0,4.0
693,1790,2026-12-05,2,4.0,3.0
164,1185,2025-01-04,3,4.0,2.0
239,1268,2023-01-04,3,3.0,2.0
536,1605,2025-07-26,5,1.0,3.0
156,1177,2026-04-28,3,2.0,2.0
330,1370,2025-12-13,5,4.0,2.0
550,1622,2025-09-29,4,3.0,1.0
466,1526,2026-01-27,4,1.0,2.0
358,1402,2024-12-16,5,3.0,2.0
549,1621,2026-02-15,5,3.0,3.0
202,1227,2024-09-24,4,,1.0
741,1845,2026-10-10,4,2.0,
103,1114,2026-06-22,5,3.0,
750,1855,2025-11-28,2,4.0,2.0
29,1032,2025-11-27,3,2.0,2.0
40,1045,2025-12-23,3,3.0,4.0
92,1102,2024-10-04,3,1.0,2.0
236,1264,2026-03-12,3,4.0,2.0
32,1035,2025-06-10,3,4.0,2.0
176,1198,2025-02-18,3,3.0,2.0
478,1538,2022-12-01,3,3.0,2.0
468,1528,2026-05-02,3,4.0,2.0
351,1393,2025-09-09,4,,3.0
467,1527,2024-07-08,5,3.0,1.0
127,1144,2025-06-06,3,4.0,3.0
113,1126,2026-02-28,3,2.0,2.0
178,1200,2026-04-08,3,1.0,2.0
455,1514,2025-07-31,3,2.0,2.0
5,1007,2025-10-26,3,3.0,3.0
655,1750,2025-12-13,5,1.0,3.0
502,1566,2025-07-28,2,,2.0
238,1266,2025-06-24,4,4.0,1.0
461,1520,2025-02-18,5,1.0,3.0
328,1368,2025-05-02,2,3.0,4.0
600,1682,2025-10-01,4,2.0,3.0
615,1701,2024-10-30,4,,3.0
6,1008,2026-10-05,3,3.0,1.0
265,1297,2026-10-22,3,2.0,4.0
624,1712,2025-07-15,4,3.0,2.0
98,1109,2025-07-12,3,4.0,2.0
686,1782,2024-10-01,5,3.0,2.0
713,1814,2022-10-04,4,1.0,1.0
378,1422,2025-09-03,2,4.0,3.0
128,1145,2025-05-04,3,3.0,3.0
198,1222,2026-05-29,3,3.0,3.0
387,1436,2025-03-23,4,3.0,2.0
225,1252,2024-09-29,5,4.0,3.0
65,1072,2024-02-27,3,3.0,1.0
15,1018,2025-08-04,2,,
137,1154,2024-09-22,3,2.0,2.0
302,1339,2026-01-22,4,1.0,3.0
43,1048,2025-01-12,3,3.0,2.0
234,1262,2025-12-22,5,4.0,3.0
519,1584,2025-09-13,4,3.0,3.0
578,1655,2024-09-13,3,4.0,3.0
470,1530,2026-01-17,3,3.0,3.0
480,1540,2024-03-04,1,4.0,3.0
108,1120,2024-12-27,4,2.0,2.0
305,1344,2025-07-11,3,3.0,
726,1827,2025-08-11,4,3.0,3.0
106,1117,2025-06-10,4,3.0,2.0
495,1556,2026-11-06,3,1.0,1.0
337,1379,2026-05-08,3,2.0,1.0
507,1571,2025-11-03,3,2.0,1.0
531,1597,2025-05-12,3,1.0,2.0
110,1122,2025-12-10,3,1.0,4.0
320,1360,2025-09-26,3,4.0,3.0
547,1618,2026-12-19,2,3.0,1.0
457,1516,2026-01-29,2,3.0,2.0
307,1346,2025-11-01,5,1.0,2.0
433,1488,2022-09-18,2,2.0,1.0
649,1743,2026-06-01,4,4.0,3.0
31,1034,2025-09-09,4,4.0,2.0
543,1614,2023-09-25,3,2.0,2.0
244,1273,2025-08-23,3,1.0,4.0
407,1459,2025-08-31,2,,1.0
675,1770,2026-09-22,4,3.0,1.0
196,1220,2025-09-27,3,4.0,2.0
659,1754,2025-08-01,2,3.0,3.0
117,1131,2023-06-08,3,3.0,4.0
340,1382,2024-06-01,3,4.0,1.0
69,1077,2025-11-10,4,1.0,2.0
574,1651,2026-03-09,3,4.0,3.0
112,1125,2025-04-04,3,4.0,
146,1164,2023-12-18,3,4.0,2.0
210,1235,2025-07-31,3,3.0,3.0
116,1130,2026-02-09,4,3.0,3.0
144,1161,2025-02-17,4,,3.0
386,1433,2024-09-01,5,4.0,4.0
760,9992,2025-06-01,4,2.0,3.0
585,1663,2024-10-27,3,3.0,3.0
314,1353,2026-06-09,5,4.0,4.0
38,1043,2026-01-19,3,3.0,3.0
753,1860,2025-02-21,4,3.0,1.0
740,1844,2025-08-23,3,3.0,2.0
107,1119,2024-05-26,3,2.0,
217,1243,2025-02-27,3,3.0,3.0
96,1106,2023-12-07,4,3.0,1.0
646,1739,2023-12-13,4,,2.0
540,1610,2024-04-22,4,3.0,1.0
712,1813,2026-03-12,3,3.0,
418,1472,2025-07-07,5,4.0,1.0
652,1746,2025-10-08,4,3.0,1.0
135,1152,2026-03-05,3,4.0,3.0
284,1319,2025-04-10,3,4.0,
360,1404,2026-02-24,3,4.0,3.0
579,1656,2026-11-29,5,4.0,2.0
732,1835,2024-05-25,1,3.0,2.0
248,1277,2025-08-13,3,4.0,3.0
702,1800,2025-01-09,4,4.0,3.0
513,1578,2026-09-13,4,3.0,1.0
233,1261,2024-03-08,3,3.0,2.0
237,1265,2021-02-22,4,4.0,2.0
170,1191,2027-01-08,2,2.0,2.0
594,1675,2023-03-09,3,4.0,2.0
730,1831,2024-04-22,2,3.0,4.0
54,1061,2026-03-14,4,2.0,1.0
247,1276,2026-03-26,3,3.0,
670,1765,2024-05-05,3,4.0,3.0
756,1863,2025-09-13,4,2.0,3.0
152,1172,2024-02-14,3,3.0,3.0
231,1259,2024-12-24,3,2.0,2.0
252,1281,2024-11-22,4,4.0,2.0
158,1179,2025-11-29,5,2.0,1.0
597,1678,2025-05-04,3,2.0,1.0
538,1607,2025-08-16,4,1.0,2.0
534,1602,2024-03-06,3,2.0,3.0
469,1529,2024-11-01,5,3.0,1.0
297,1334,2025-04-01,3,4.0,4.0
189,1213,2026-06-26,3,3.0,3.0
133,1150,2024-05-11,1,,1.0
408,1460,2026-03-16,3,4.0,4.0
691,1788,2026-03-23,4,3.0,4.0
454,1513,2026-05-20,4,1.0,4.0
186,1210,2026-04-25,3,3.0,3.0
548,1619,2024-05-30,3,1.0,1.0
44,1049,2025-01-19,4,3.0,1.0
590,1669,2025-08-23,3,3.0,1.0
240,1269,2025-03-03,3,3.0,1.0
331,1371,2023-12-11,3,1.0,3.0
727,1828,2025-02-14,4,4.0,2.0
143,1160,2025-03-16,4,3.0,1.0
526,1591,2026-12-08,4,3.0,4.0
109,1121,2024-12-08,3,4.0,4.0
609,1694,2025-02-19,4,3.0,3.0
391,1441,2025-11-03,3,3.0,3.0
62,1069,2026-03-08,3,3.0,1.0
264,1296,2025-08-17,3,2.0,3.0
193,1217,2022-01-28,4,4.0,3.0
348,1390,2025-02-10,2,2.0,2.0
560,1634,2024-10-25,3,3.0,4.0
289,1324,2025-07-29,3,2.0,
451,1509,2024-07-13,3,1.0,3.0
74,1082,2025-05-19,3,4.0,3.0
725,1826,2022-06-15,5,2.0,2.0
151,1171,2025-03-12,3,4.0,2.0
459,1518,2025-01-03,4,3.0,3.0
68,1076,2026-10-07,4,2.0,3.0
363,1407,2025-07-29,4,3.0,4.0
453,1512,2023-10-21,5,4.0,3.0
431,1486,2025-10-19,3,3.0,3.0
416,1470,2025-07-19,4,4.0,4.0
499,1560,2025-06-07,4,2.0,1.0
339,1381,2025-06-26,4,3.0,2.0
596,1677,2023-07-08,3,1.0,2.0
634,1725,2024-05-09,1,,3.0
392,1442,2025-10-22,5,4.0,2.0
430,1485,2025-06-22,1,4.0,4.0
132,1149,2024-11-08,3,3.0,3.0
601,1684,2026-04-09,3,4.0,2.0
643,1736,2025-07-16,2,1.0,4.0
131,1148,2025-11-24,5,3.0,1.0
551,1623,2025-08-08,5,2.0,4.0
115,1129,2024-09-15,2,3.0,2.0
318,1358,2026-04-03,5,1.0,1.0
630,1719,2026-01-02,3,1.0,3.0
272,1306,2025-07-14,3,3.0,2.0
130,1147,2025-10-01,2,3.0,4.0
669,1764,2022-01-16,2,1.0,3.0
506,1570,2025-07-06,3,1.0,3.0
211,1236,2026-04-11,3,3.0,2.0
493,1553,2026-04-04,4,3.0,1.0
527,1592,2025-02-12,4,4.0,3.0
41,1046,2026-04-14,3,3.0,2.0
629,1718,2026-01-18,5,1.0,2.0
205,1230,2025-09-30,3,4.0,3.0
273,1307,2026-07-30,3,4.0,2.0
9,1011,2025-06-07,3,3.0,4.0
492,1552,2026-03-20,5,1.0,3.0
71,1079,2025-04-28,4,4.0,3.0
428,1483,2025-06-07,2,2.0,4.0
638,1729,2025-10-25,3,4.0,3.0
690,1787,2025-03-18,4,3.0,
747,1852,2026-05-09,5,3.0,3.0
577,1654,2026-09-08,1,3.0,4.0
608,1693,2025-05-14,3,3.0,4.0
94,1104,2025-11-19,3,1.0,3.0
323,1363,2024-01-13,3,3.0,2.0
80,1089,2025-09-11,3,3.0,1.0
717,1818,2024-08-19,2,1.0,3.0
50,1056,2023-02-04,2,4.0,4.0
251,1280,2025-11-06,2,4.0,2.0
148,1167,2025-12-27,4,1.0,4.0
733,1836,2024-06-26,4,2.0,2.0
58,1065,2025-02-03,3,2.0,4.0
516,1581,2027-01-20,3,2.0,2.0
616,1702,2025-07-26,4,2.0,
343,1385,2025-03-24,4,2.0,3.0
56,1063,2026-10-07,2,3.0,3.0
374,1418,2024-09-11,5,2.0,2.0
720,1821,2024-12-08,1,3.0,3.0
334,1376,2023-06-23,3,,1.0
400,1450,2025-09-16,4,1.0,1.0
355,1397,2025-12-18,4,2.0,3.0
487,1547,2025-11-16,4,1.0,4.0
26,1029,2026-02-20,3,1.0,3.0
48,1054,2026-01-15,3,4.0,2.0
175,1196,2025-08-30,3,3.0,1.0
383,1429,2025-04-30,3,3.0,1.0
60,1067,2025-12-08,3,3.0,2.0
154,1174,2025-04-21,4,4.0,4.0
443,1501,2025-08-08,2,4.0,3.0
587,1666,2025-12-25,3,4.0,2.0
162,1183,2024-11-07,5,3.0,3.0
245,1274,2024-08-21,3,3.0,4.0
558,1632,2025-06-10,4,4.0,4.0
159,1180,2023-10-25,4,4.0,3.0
347,1389,2022-08-20,2,2.0,1.0
327,1367,2026-05-14,4,2.0,4.0
704,1802,2026-05-05,3,3.0,2.0
425,1480,2026-05-09,4,4.0,3.0
382,1426,2025-01-10,4,1.0,3.0
491,1551,2026-08-21,3,4.0,2.0
588,1667,2025-02-17,2,4.0,2.0
761,9996,2025-06-01,2,1.0,2.0
55,1062,2026-02-05,3,2.0,4.0
591,1670,2027-01-09,5,3.0,2.0
350,1392,2025-08-20,2,1.0,3.0
169,1190,2025-04-28,4,3.0,3.0
602,1685,2026-12-30,4,,1.0
555,1628,2025-10-12,1,3.0,2.0
432,1487,2025-11-13,4,2.0,1.0
353,1395,2026-11-25,3,4.0,1.0
25,1028,2025-01-30,3,3.0,
556,1629,2025-05-15,3,4.0,1.0
633,1724,2026-07-04,3,3.0,1.0
757,1864,2025-06-27,2,3.0,3.0
19,1022,2026-02-20,3,3.0,3.0
603,1686,2023-07-06,3,2.0,3.0
313,1352,2024-04-04,1,4.0,2.0
255,1284,2024-05-03,3,1.0,4.0
226,1254,2024-07-03,4,4.0,4.0
88,1098,2025-07-06,2,3.0,1.0
398,1448,2025-06-23,3,3.0,4.0
343,1385,2025-03-24,4,2.0,3.0
569,1644,2022-12-18,4,3.0,
223,1250,2025-05-07,3,3.0,4.0
515,1580,2025-08-05,4,4.0,3.0
656,1751,2026-04-21,5,2.0,4.0
219,1245,2024-07-06,3,3.0,1.0
614,1700,2022-06-15,2,4.0,1.0
372,1416,2025-12-11,3,3.0,3.0
417,1471,2024-04-06,3,3.0,4.0
738,1841,2025-07-26,4,2.0,1.0
458,1517,2024-10-14,4,3.0,4.0
194,1218,2025-12-18,3,2.0,3.0
749,1854,2025-07-27,2,3.0,3.0
287,1322,2026-03-24,2,3.0,3.0
67,1075,2025-11-17,5,4.0,2.0
530,1596,2022-03-17,4,2.0,3.0
72,1080,2026-03-21,4,,3.0
662,1757,2026-04-28,3,2.0,3.0
698,1796,2026-01-04,3,4.0,4.0
706,1804,2026-03-22,3,4.0,3.0
635,1726,2026-01-05,4,4.0,4.0
16,1019,2023-04-16,4,2.0,3.0
703,1801,2025-04-28,3,1.0,2.0
566,1641,2026-03-24,3,1.0,3.0
438,1494,2023-05-19,4,2.0,1.0
396,1446,2025-06-12,3,,3.0
462,1522,2025-04-21,1,2.0,2.0
136,1153,2024-05-15,3,,2.0
718,1819,2026-09-21,1,3.0,4.0
30,1033,2025-09-12,3,4.0,2.0
182,1205,2025-11-16,3,2.0,3.0
228,1256,2025-06-24,3,4.0,2.0
598,1679,2025-05-19,5,3.0,3.0
714,1815,2025-08-31,3,4.0,2.0
105,1116,2025-10-04,4,3.0,3.0
322,1362,2024-11-01,3,4.0,4.0
269,1302,2020-10-09,3,4.0,2.0
559,1633,2023-06-08,3,1.0,2.0
681,1777,2026-06-12,4,4.0,3.0
393,1443,2025-10-17,2,3.0,1.0
476,1536,2025-02-20,3,2.0,4.0
618,1704,2025-06-04,3,2.0,2.0
242,1271,2026-04-04,3,2.0,2.0
522,1587,2026-05-08,3,,1.0
447,1505,2026-05-09,3,3.0,3.0
204,1229,2025-05-28,5,2.0,1.0
550,1622,2025-09-29,4,3.0,1.0
84,1094,2025-02-11,4,3.0,3.0
119,1135,2025-06-02,4,4.0,4.0
97,1107,2024-08-03,3,1.0,
448,1506,2025-06-09,5,4.0,4.0
167,1188,2025-02-07,5,4.0,4.0
488,1548,2025-04-09,3,3.0,1.0
190,1214,2026-09-14,4,1.0,3.0
694,1791,2025-12-23,4,3.0,1.0
637,1728,2026-06-19,4,3.0,3.0
93,1103,2025-02-08,4,2.0,4.0
367,1411,2023-11-16,4,4.0,2.0
316,1356,2021-06-12,3,4.0,3.0
262,1294,2024-01-08,4,2.0,2.0
362,1406,2025-07-18,3,1.0,3.0
139,1156,2025-12-26,3,3.0,2.0
721,1822,2025-10-19,5,4.0,1.0
277,1312,2023-08-04,4,,2.0
385,1431,2025-02-22,3,3.0,4.0
57,1064,2023-09-22,3,1.0,1.0
611,1697,2026-01-14,3,3.0,4.0
473,1533,2025-10-13,3,2.0,3.0
411,1464,2022-11-12,4,3.0,1.0
89,1099,2023-03-25,5,3.0,3.0
613,1699,2025-11-19,3,,3.0
529,1594,2025-07-31,4,3.0,2.0
281,1316,2025-08-14,3,1.0,3.0
371,1415,2025-04-03,4,3.0,3.0
140,1157,2026-12-09,4,3.0,3.0
361,1405,2024-09-02,3,4.0,3.0
636,1727,2025-06-07,3,3.0,3.0
288,1323,2026-01-05,4,3.0,3.0
711,1812,2025-08-19,3,4.0,1.0
563,1638,2024-03-26,3,4.0,4.0
460,1519,2025-04-16,3,4.0,2.0
403,1453,2026-06-03,3,3.0,
341,1383,2026-09-30,4,3.0,2.0
366,1410,2027-01-14,4,2.0,4.0
24,1027,2024-09-24,4,4.0,
346,1388,2025-06-25,4,1.0,
165,1186,2025-09-14,3,3.0,2.0
729,1830,2024-07-14,4,4.0,1.0
335,1377,2024-12-22,3,4.0,3.0
311,1350,2025-11-25,3,3.0,2.0
697,1794,2024-12-27,1,3.0,2.0
129,1146,2021-12-01,5,4.0,2.0
354,1396,2025-12-03,4,2.0,4.0
647,1741,2022-08-10,3,4.0,4.0
736,1839,2025-06-25,4,2.0,2.0
241,1270,2026-08-11,3,4.0,3.0
641,1733,2026-11-02,3,3.0,1.0
319,1359,2026-08-10,2,3.0,1.0
572,1648,2026-12-12,4,3.0,2.0
263,1295,2024-11-21,2,4.0,2.0
429,1484,2025-12-13,3,2.0,1.0
99,1110,2025-07-30,3,4.0,3.0
576,1653,2025-04-29,3,2.0,2.0
593,1672,2026-01-19,3,3.0,3.0
671,1766,2024-04-25,3,1.0,2.0
90,1100,2023-01-05,3,4.0,2.0
203,1228,2024-07-29,3,2.0,3.0
4,1005,2024-07-18,2,1.0,3.0
256,1286,2024-11-16,3,4.0,
332,1372,2026-11-27,3,1.0,3.0
533,1601,2023-11-19,3,4.0,2.0
434,1489,2022-11-02,3,2.0,3.0
709,1810,2025-10-28,5,,4.0
564,1639,2025-11-17,4,3.0,4.0
147,1165,2024-11-20,3,1.0,2.0
744,1849,2024-08-30,3,3.0,3.0
20,1023,2023-04-14,3,4.0,4.0
329,1369,2026-10-01,3,1.0,1.0
746,1851,2023-04-05,4,1.0,
261,1293,2025-08-13,2,3.0,3.0
514,1579,2025-08-21,3,1.0,1.0
299,1336,2026-05-25,3,4.0,3.0
306,1345,2024-10-28,3,3.0,3.0
365,1409,2025-12-21,3,3.0,4.0
291,1326,2025-08-14,3,1.0,1.0
191,1215,2024-08-22,4,2.0,2.0
553,1626,2026-03-24,2,4.0,4.0
716,1817,2025-10-20,4,1.0,3.0
197,1221,2025-10-20,3,2.0,4.0
141,1158,2025-01-05,4,3.0,1.0
83,1093,2026-07-07,3,2.0,1.0
123,1139,2024-02-15,4,2.0,2.0
541,1611,2026-01-27,3,,3.0
111,1124,2024-02-22,3,3.0,1.0
85,1095,2025-01-20,2,2.0,2.0
523,1588,2026-12-28,3,4.0,3.0
711,1812,2025-08-19,3,4.0,1.0
180,1203,2025-08-14,4,3.0,2.0
483,1543,2023-09-11,3,3.0,1.0
595,1676,2026-05-05,5,3.0,1.0
535,1603,2025-10-23,5,1.0,2.0
100,1111,2026-05-07,3,2.0,2.0
528,1593,2027-01-24,5,3.0,3.0
75,1083,2025-03-16,4,3.0,2.0
8,1010,2021-11-30,5,3.0,2.0
568,1643,2020-10-21,3,,1.0
724,1825,2025-05-28,3,4.0,3.0
274,1308,2025-02-15,2,3.0,
280,1315,2024-05-13,4,4.0,3.0
397,1447,2024-08-04,2,2.0,
155,1175,2024-10-30,4,3.0,4.0
620,1706,2023-05-23,3,,3.0
192,1216,2025-09-10,5,2.0,4.0
696,1793,2025-11-20,5,4.0,4.0
710,1811,2022-12-05,5,1.0,2.0
188,1212,2026-04-15,3,2.0,
51,1057,2026-06-23,3,4.0,1.0
39,1044,2025-07-16,4,3.0,3.0
450,1508,2026-11-04,3,4.0,4.0
419,1474,2025-10-28,4,1.0,4.0
679,1775,2026-02-11,3,2.0,3.0
209,1234,2025-04-03,5,3.0,3.0
376,1420,2024-12-13,4,2.0,2.0
464,1524,2025-06-27,2,2.0,3.0
471,1531,2026-04-25,3,3.0,4.0
518,1583,2027-01-19,3,2.0,3.0
76,1084,2024-11-01,3,3.0,
249,1278,2025-01-08,3,,3.0
303,1340,2024-10-04,3,1.0,4.0
575,1652,2024-11-19,3,,3.0
735,1838,2026-03-17,3,1.0,1.0
12,1014,2023-10-03,4,4.0,4.0
486,1546,2025-07-12,4,3.0,3.0
463,1523,2026-02-02,3,4.0,3.0
282,1317,2022-11-18,4,1.0,
254,1283,2026-12-11,2,3.0,3.0
754,1861,2026-04-19,3,2.0,2.0
557,1630,2022-08-08,5,3.0,4.0
708,1809,2025-12-18,4,3.0,3.0
220,1246,2025-02-24,3,4.0,2.0
426,1481,2024-06-17,3,3.0,2.0
370,1414,2024-06-02,3,3.0,2.0
580,1657,2026-04-11,3,3.0,2.0
70,1078,2025-07-15,3,2.0,3.0
22,1025,2023-09-04,3,3.0,3.0
78,1086,2026-08-13,3,1.0,4.0
220,1246,2025-02-24,3,4.0,2.0
731,1832,2026-03-06,5,4.0,3.0
126,1143,2025-12-15,4,3.0,3.0
229,1257,2021-01-19,3,1.0,3.0
43,1048,2025-01-12,3,3.0,2.0
517,1582,2026-06-20,3,1.0,3.0
375,1419,2026-11-16,1,3.0,3.0
206,1231,2023-10-16,4,3.0,4.0
748,1853,2024-09-01,1,3.0,3.0
7,1009,2024-09-05,3,4.0,2.0
494,1554,2025-09-03,3,3.0,4.0
728,1829,2023-08-22,5,3.0,3.0
573,1649,2025-01-21,3,1.0,3.0
260,1292,2021-09-26,4,3.0,3.0
283,1318,2023-11-28,4,1.0,2.0
684,1780,2025-05-20,4,3.0,
751,1857,2026-03-02,3,3.0,1.0
456,1515,2024-09-21,4,2.0,1.0
321,1361,2026-03-13,3,3.0,4.0
435,1490,2025-09-25,3,3.0,3.0
300,1337,2025-01-21,4,3.0,3.0
437,1493,2024-11-23,2,3.0,3.0
628,1717,2025-10-19,2,3.0,3.0
439,1495,2025-08-22,3,2.0,3.0
326,1366,2024-08-01,4,3.0,3.0
404,1455,2025-12-25,3,3.0,4.0
266,1298,2025-05-10,3,4.0,3.0
565,1640,2026-05-16,4,3.0,3.0
631,1720,2025-09-11,5,3.0,3.0
279,1314,2025-01-09,2,3.0,1.0
657,1752,2025-05-31,3,4.0,3.0
554,1627,2026-01-01,5,4.0,2.0
632,1721,2024-09-05,2,,3.0
689,1786,2026-04-22,3,3.0,3.0
232,1260,2026-04-24,4,2.0,2.0
246,1275,2024-03-31,3,3.0,2.0
168,1189,2023-09-02,4,3.0,2.0
503,1567,2023-06-01,2,4.0,3.0
333,1375,2025-08-05,5,3.0,4.0
427,1482,2026-04-27,4,4.0,1.0
542,1613,2025-07-05,3,1.0,2.0
163,1184,2025-01-18,2,3.0,3.0
150,1170,2025-12-10,5,2.0,1.0
227,1255,2021-10-14,5,,2.0
95,1105,2024-11-25,3,1.0,3.0
222,1249,2025-09-16,2,2.0,4.0
474,1534,2025-08-30,3,3.0,4.0
754,1861,2026-04-19,3,2.0,2.0
677,1772,2025-12-06,4,4.0,2.0
35,1038,2024-06-27,4,2.0,4.0
218,1244,2025-08-10,3,2.0,3.0
73,1081,2025-07-25,3,3.0,3.0
221,1247,2025-07-10,3,4.0,2.0
214,1239,2025-11-14,4,1.0,3.0
668,1763,2025-06-26,3,3.0,1.0
395,1445,2024-04-10,3,4.0,3.0
368,1412,2025-07-24,3,2.0,4.0
13,1015,2025-06-03,4,3.0,2.0
658,1753,2026-05-25,3,4.0,3.0
344,1386,2025-03-01,4,4.0,3.0
199,1223,2025-09-01,3,3.0,2.0
235,1263,2023-10-07,2,2.0,2.0
421,1476,2027-01-06,3,4.0,4.0
759,9991,2025-06-01,3,3.0,3.0
607,1692,2025-04-14,2,1.0,1.0
298,1335,2025-03-27,4,1.0,3.0
64,1071,2023-11-02,2,3.0,4.0
14,1016,2022-09-18,3,1.0,3.0
436,1491,2025-09-04,3,2.0,1.0
18,1021,2025-07-03,4,1.0,3.0
640,1732,2025-09-21,2,1.0,1.0
349,1391,2023-12-19,3,3.0,3.0
208,1233,2025-07-23,4,4.0,2.0
91,1101,2026-12-06,3,4.0,3.0
308,1347,2026-02-07,3,4.0,1.0
342,1384,2025-09-29,4,3.0,3.0
381,1425,2025-10-11,5,1.0,2.0
345,1387,2025-02-06,3,1.0,3.0
472,1532,2026-03-25,2,3.0,2.0
622,1710,2026-01-22,4,4.0,3.0
552,1625,2025-10-02,3,3.0,3.0
599,1681,2025-08-22,4,4.0,3.0
33,1036,2025-07-20,3,4.0,2.0
722,1823,2024-02-24,4,1.0,3.0
173,1194,2025-05-05,2,3.0,3.0
187,1211,2024-10-18,3,2.0,4.0
758,1865,2025-11-01,5,4.0,4.0
409,1462,2025-10-25,3,3.0,4.0
645,1738,2025-08-21,3,3.0,2.0
700,1798,2024-10-04,4,4.0,3.0
201,1226,2025-11-15,3,4.0,4.0
293,1330,2024-06-24,4,3.0,3.0
584,1662,2025-09-25,2,3.0,1.0
672,1767,2025-12-01,3,3.0,2.0
511,1576,2023-01-18,4,4.0,4.0
707,1805,2024-08-03,4,3.0,2.0
654,1748,2024-06-26,3,3.0,3.0
683,1779,2023-06-22,3,4.0,3.0
752,1858,2022-04-17,2,2.0,3.0
742,1846,2025-07-20,4,4.0,3.0
490,1550,2023-09-16,4,1.0,4.0
680,1776,2025-11-27,3,3.0,2.0
