EmployeeID,Attrition,ExitDate,ExitReason
1321,No,,
1646,No,,
1268,No,,
1098,No,,
1537,No,,
1405,No,,
1250,Yes,2025-05-31,Role Pressure
1019,No,,
1498,No,,
1509,No,,
1167,Yes,2025-08-12,Job Dissatisfaction
1026,No,,
1493,Yes,2023-06-24,Career Change
1546,Yes,2025-10-05,Career Change
1072,No,,
1276,Yes,2026-03-29,Commute
1802,No,,
1578,Yes,2026-04-07,Relocation
1682,No,,
1170,No,,
1076,No,,
1713,No,,
1621,Yes,2025-11-30,Relocation
1306,Yes,2025-10-03,Work-Life Balance
1355,No,,
1766,Yes,2024-08-20,Better Opportunity
1691,No,,
1381,No,,
1512,No,,
1069,No,,
1775,No,,
1277,No,,
1595,No,,
1176,No,,
1217,No,,
1573,No,,
1825,No,,
1476,No,,
1852,No,,
1373,No,,
1178,No,,
1203,No,,
1729,No,,
1004,No,,
1264,Yes,2024-07-24,Compensation
1447,Yes,2024-11-11,Career Change
1473,No,,
1463,No,,
1262,No,,
1252,No,,
1094,No,,
1676,Yes,2025-11-20,Poor Culture Fit
1227,No,,
1025,No,,
1784,No,,
1638,No,,
1666,Yes,2026-03-05,Personal Reasons
1201,Yes,2025-02-25,Poor Culture Fit
1717,No,,
1016,Yes,2024-02-20,Job Dissatisfaction
1258,No,,
1015,No,,
1334,No,,
1230,No,,
1734,No,,
1526,Yes,2026-01-16,Job Dissatisfaction
1847,Yes,2026-03-26,Burnout / Overtime
1433,No,,
1781,No,,
1817,No,,
1527,Yes,2025-03-15,Work-Life Balance
1806,Yes,2026-03-31,Burnout / Overtime
1100,No,,
1577,No,,
1810,No,,
1698,No,,
1760,No,,
1317,No,,
1699,Yes,2025-12-16,Poor Culture Fit
1272,No,,
1058,No,,
1637,No,,
1684,Yes,2024-10-07,Relocation
1145,No,,
1808,No,,
1690,No,,
1159,No,,
1382,No,,
1118,No,,
1414,No,,
1318,No,,
1089,No,,
1571,No,,
1756,No,,
1513,No,,
1383,No,,
1275,No,,
1007,No,,
1771,No,,
1005,No,,
1320,No,,
1041,Yes,2026-02-21,Poor Culture Fit
1238,Yes,2025-12-12,Burnout / Overtime
1211,No,,
1865,Yes,2025-05-25,Burnout / Overtime
1212,No,,
1609,No,,
1505,No,,
1459,No,,
1482,No,,
1813,No,,
1304,Yes,2025-05-19,Better Opportunity
1065,No,,
1604,No,,
1364,No,,
1312,No,,
1702,No,,
1266,Yes,2025-03-17,Work-Life Balance
1472,Yes,2026-05-09,Work-Life Balance
1099,No,,
1834,No,,
1678,Yes,2025-10-30,Job Dissatisfaction
1818,No,,
1339,No,,
1636,No,,
1278,Yes,2025-10-24,Burnout / Overtime
1390,No,,
1104,No,,
1197,No,,
1281,No,,
1695,No,,
1855,No,,
1335,Yes,2025-09-22,Job Dissatisfaction
1430,Yes,2026-04-07,Career Change
1163,No,,
1791,Yes,2026-01-21,Work-Life Balance
1594,No,,
1569,No,,
1232,No,,
1854,Yes,2023-12-26,Better Opportunity
1135,No,,
1462,No,,
1342,No,,
1220,No,,
1448,No,,
1827,No,,
1189,No,,
1193,No,,
1143,No,,
1411,Yes,2026-02-12,Burnout / Overtime
1299,Yes,2026-07-22,Poor Culture Fit
1490,No,,
1302,No,,
1703,No,,
1399,Yes,2025-10-06,Job Dissatisfaction
1751,Yes,2023-08-15,Job Dissatisfaction
1531,No,,
1129,No,,
1161,Yes,2024-04-08,Relocation
1357,Yes,2025-02-07,Career Change
1124,No,,
1525,No,,
1468,No,,
1169,No,,
1727,No,,
1101,No,,
1762,Yes,2025-01-21,Burnout / Overtime
1103,Yes,2024-12-26,Burnout / Overtime
1106,No,,
1626,No,,
1579,Yes,2025-09-11,Personal Reasons
1807,No,,
1236,No,,
1558,No,,
1086,No,,
1366,No,,
1740,Yes,2026-06-28,Career Change
1559,No,,
1816,No,,
1017,No,,
1693,No,,
1047,No,,
1522,No,,
1581,No,,
1345,Yes,2025-09-05,Burnout / Overtime
1130,Yes,2025-09-09,Poor Culture Fit
1270,No,,
1102,Yes,2024-07-20,Job Dissatisfaction
1441,No,,
1706,No,,
1349,No,,
1095,Yes,2024-12-15,Burnout / Overtime
1469,No,,
1576,No,,
1755,No,,
1354,No,,
1294,No,,
1116,Yes,2026-04-06,Poor Culture Fit
1002,No,,
1752,Yes,2025-06-29,Relocation
1196,No,,
1624,Yes,2025-08-20,Commute
1062,No,,
1333,No,,
1243,No,,
1593,No,,
1080,No,,
1044,No,,
1021,Yes,2024-05-30,Burnout / Overtime
1206,Yes,2024-07-25,Job Dissatisfaction
1635,No,,
1207,No,,
1660,No,,
1092,Yes,2026-07-21,Poor Culture Fit
1293,No,,
1151,Yes,2025-12-15,Work-Life Balance
1685,No,,
1083,No,,
1088,No,,
1142,No,,
1257,Yes,2022-06-27,Job Dissatisfaction
1572,Yes,2024-05-26,Personal Reasons
1340,No,,
1835,No,,
1040,No,,
1555,No,,
1779,No,,
1085,No,,
1231,Yes,2025-02-21,Burnout / Overtime
1619,No,,
1839,No,,
1629,No,,
1315,No,,
1393,No,,
1452,No,,
1484,Yes,2025-10-29,Poor Culture Fit
1173,No,,
1198,No,,
1602,No,,
1759,No,,
1450,Yes,2024-10-10,Job Dissatisfaction
1362,No,,
1202,No,,
1141,No,,
1313,No,,
1049,No,,
1369,No,,
1746,Yes,2025-08-18,Burnout / Overtime
1097,No,,
1853,No,,
1242,No,,
1029,Yes,2026-01-12,Career Change
1233,No,,
1443,No,,
1764,No,,
1061,Yes,2026-04-13,Work-Life Balance
1013,No,,
1716,No,,
1842,No,,
1022,No,,
1575,No,,
1174,No,,
1039,No,,
1650,No,,
1470,No,,
1273,No,,
1350,No,,
1630,No,,
1070,No,,
1653,No,,
1246,No,,
1688,No,,
1330,No,,
1387,No,,
1830,No,,
1303,No,,
1840,No,,
1673,No,,
1131,No,,
1584,No,,
1507,No,,
1347,Yes,2025-08-23,Poor Culture Fit
1187,No,,
1356,No,,
1831,No,,
1439,Yes,2025-09-13,Poor Culture Fit
1620,No,,
1138,Yes,2025-04-01,Personal Reasons
1529,Yes,2025-08-04,Career Change
1324,No,,
1645,No,,
1454,No,,
1748,No,,
1416,No,,
1723,No,,
1205,No,,
1530,No,,
1772,No,,
1328,No,,
1533,Yes,2025-11-25,Burnout / Overtime
1368,No,,
1401,No,,
1851,No,,
1042,No,,
1352,No,,
1200,No,,
1696,No,,
1732,Yes,2024-09-08,Job Dissatisfaction
1582,No,,
1224,No,,
1481,No,,
1726,No,,
1515,No,,
1370,No,,
1622,Yes,2025-10-15,Work-Life Balance
1183,No,,
1543,No,,
1186,No,,
1532,No,,
1133,No,,
1550,No,,
1235,No,,
1486,No,,
1683,Yes,2025-11-03,Job Dissatisfaction
1020,No,,
1408,No,,
1833,No,,
1561,No,,
1608,No,,
1404,Yes,2025-10-30,Poor Culture Fit
1790,Yes,2026-06-30,Poor Culture Fit
1451,No,,
1757,No,,
1117,No,,
1149,No,,
1557,No,,
1768,No,,
1247,No,,
1218,No,,
1112,No,,
1680,No,,
1038,No,,
1367,No,,
1119,No,,
1234,No,,
1826,No,,
1024,Yes,2025-11-20,Commute
1259,No,,
1310,No,,
1603,No,,
1541,No,,
1378,No,,
1419,No,,
1548,No,,
1812,No,,
1208,No,,
1144,Yes,2025-09-23,Burnout / Overtime
1082,No,,
1570,No,,
1786,No,,
1122,No,,
1455,No,,
1495,No,,
1027,No,,
1501,No,,
1397,No,,
1738,Yes,2024-07-11,Personal Reasons
1517,No,,
1590,Yes,2025-04-20,Burnout / Overtime
1787,No,,
1648,No,,
1319,No,,
1436,No,,
1219,No,,
1336,No,,
1743,No,,
1297,Yes,2026-05-20,Poor Culture Fit
1668,No,,
1686,No,,
1804,No,,
1285,No,,
1023,No,,
1228,Yes,2025-05-12,Job Dissatisfaction
1003,No,,
1446,No,,
1549,Yes,2025-08-25,Better Opportunity
1030,No,,
1499,No,,
1458,No,,
1006,No,,
1715,No,,
1282,Yes,2025-01-24,Job Dissatisfaction
1033,No,,
1422,No,,
1728,No,,
1628,Yes,2025-08-11,Role Pressure
1157,Yes,2026-07-04,Burnout / Overtime
1846,No,,
1520,No,,
1803,No,,
1814,No,,
1587,No,,
1260,No,,
1298,Yes,2024-10-26,Career Change
1656,Yes,2026-06-18,Career Change
1503,No,,
1471,No,,
1554,No,,
1774,No,,
1011,No,,
1692,No,,
1008,Yes,2026-04-29,Work-Life Balance
1209,No,,
1661,Yes,2025-10-30,Poor Culture Fit
1376,No,,
1599,Yes,2023-11-13,Work-Life Balance
1415,No,,
1292,No,,
1050,Yes,2025-09-26,Career Change
1687,No,,
1610,No,,
1449,No,,
1053,Yes,2026-06-09,Poor Culture Fit
1309,Yes,2025-09-05,Role Pressure
1316,Yes,2025-05-14,Burnout / Overtime
1489,Yes,2024-07-25,Job Dissatisfaction
1592,Yes,2026-04-17,Relocation
1392,No,,
1821,No,,
1502,Yes,2025-07-14,Relocation
1120,No,,
1861,No,,
1395,No,,
1844,No,,
1654,Yes,2026-04-06,Career Change
1528,No,,
1640,No,,
1087,Yes,2025-11-29,Better Opportunity
1172,No,,
1028,No,,
1747,No,,
1511,Yes,2025-04-09,Poor Culture Fit
1749,No,,
1663,No,,
1694,No,,
1492,No,,
1580,No,,
1737,Yes,2025-09-23,Poor Culture Fit
1253,No,,
1553,No,,
1770,No,,
1132,No,,
1700,No,,
1627,No,,
1709,No,,
1566,No,,
1126,Yes,2025-09-17,Work-Life Balance
1010,No,,
1079,Yes,2025-04-14,Burnout / Overtime
1544,No,,
1485,No,,
1780,No,,
1588,No,,
1055,No,,
1389,No,,
1671,No,,
1353,No,,
1488,No,,
1567,No,,
1251,No,,
1444,No,,
1166,No,,
1506,No,,
1265,No,,
1052,No,,
1108,No,,
1060,No,,
1479,No,,
1598,No,,
1809,Yes,2025-09-05,Poor Culture Fit
1500,No,,
1182,No,,
1863,No,,
1467,Yes,2025-10-30,Burnout / Overtime
1712,No,,
1750,No,,
1744,No,,
1199,No,,
1836,No,,
1280,No,,
1332,No,,
1799,No,,
1191,No,,
1535,No,,
1223,No,,
1115,No,,
1152,Yes,2025-06-30,Commute
1461,Yes,2026-02-10,Career Change
1689,Yes,2025-08-31,Burnout / Overtime
1188,No,,
1074,No,,
1730,No,,
1241,Yes,2025-11-27,Job Dissatisfaction
1146,No,,
1563,No,,
1256,Yes,2025-03-07,Work-Life Balance
1096,Yes,2025-09-27,Personal Reasons
1611,No,,
1720,No,,
1372,No,,
1371,No,,
1516,No,,
1413,Yes,2026-05-24,Burnout / Overtime
1494,No,,
1639,No,,
1801,No,,
1162,No,,
1427,Yes,2026-08-18,Personal Reasons
1244,Yes,2025-02-26,Relocation
1681,No,,
1417,No,,
1344,Yes,2025-05-11,Career Change
1323,No,,
1562,No,,
1649,No,,
1031,No,,
1374,No,,
1864,No,,
1707,No,,
1057,Yes,2026-01-08,Burnout / Overtime
1487,No,,
1510,No,,
1423,No,,
1714,No,,
1150,No,,
1534,No,,
1184,No,,
1001,Yes,2026-05-24,Poor Culture Fit
1388,No,,
1565,No,,
1127,Yes,2025-09-05,Poor Culture Fit
1295,No,,
1045,Yes,2025-12-12,Burnout / Overtime
1677,No,,
1314,Yes,2025-02-08,Work-Life Balance
1824,No,,
1607,No,,
1110,No,,
1765,No,,
1059,No,,
1394,No,,
1819,No,,
1457,Yes,2026-07-26,Poor Culture Fit
1600,No,,
1361,Yes,2025-11-08,Career Change
1710,No,,
1440,No,,
1175,Yes,2025-08-17,Better Opportunity
1123,No,,
